Test Case ID,API,FR,Nhom,Tieu de test case,Ky thuat,Tham so,Phan vung / Gia tri bien,SEC lien quan,Method,Endpoint,Du lieu gui len,Ket qua ky vong (theo dac ta),Nguon (AI/HUMAN),Nhan audit,Ly do audit / hieu chinh,Ket qua chay that (Newman),PASS/FAIL,Ma loi
TC-A3-001,API-3,FR-16,01 - Domain Partition: cau truc mang products,"Mang 1 dong hop le -> 200, inserted = 1, so san pham tang dung 1",domain-partition,products,"Mang hop le, 1 phan tu",,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-OK-1-23127195"", ""price"": 150000, ""description"": ""San pham hop le"", ""imageUrl"": ""https://placehold.co/300"", ""category_id"": 1}]}","200 OK, inserted = 1, CSDL tang dung 1 ban ghi.",AI,VALID,Happy path theo api_specification.md muc 6.3.,6 assertion deu dat,PASS,
TC-A3-002,API-3,FR-16,01 - Domain Partition: cau truc mang products,Mang rong [] -> 400,domain-partition,products,Mang rong,,POST,/api/admin/import-products,"{""products"": []}",400 Bad Request.,AI,VALID,Khong co du lieu de import; SUT da cai dat nhanh nay.,4 assertion deu dat,PASS,
TC-A3-003,API-3,FR-16,01 - Domain Partition: cau truc mang products,Thieu truong products -> 400,domain-partition,products,Thieu truong bat buoc,,POST,/api/admin/import-products,{},400 Bad Request.,AI,VALID,Phan vung thieu tham so.,3 assertion deu dat,PASS,
TC-A3-004,API-3,FR-16,01 - Domain Partition: cau truc mang products,products la chuoi thay vi mang -> 400,domain-partition,products,Sai kieu: string,,POST,/api/admin/import-products,"{""products"": ""name,price,description""}",400 Bad Request.,AI,VALID,Phan vung sai kieu du lieu.,3 assertion deu dat,PASS,
TC-A3-005,API-3,FR-16,01 - Domain Partition: cau truc mang products,products = null -> 400,domain-partition,products,Gia tri null,,POST,/api/admin/import-products,"{""products"": null}",400 Bad Request.,AI,VALID,Phan vung null.,3 assertion deu dat,PASS,
TC-A3-006,API-3,FR-16,01 - Domain Partition: cau truc mang products,products la object thay vi mang -> 400,domain-partition,products,Sai kieu: object,,POST,/api/admin/import-products,"{""products"": {""name"": ""OBJ-23127195"", ""price"": 1000, ""category_id"": 1}}",400 Bad Request.,AI,VALID,Object co the vo tinh lot qua neu chi kiem tra 'ton tai' ma khong kiem tra Array.isArray.,3 assertion deu dat,PASS,
TC-A3-007,API-3,FR-16,01 - Domain Partition: cau truc mang products,"Mang 3 dong deu hop le -> inserted = 3, so san pham tang dung 3",domain-partition,products,"Mang hop le, nhieu phan tu",,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-MULTI-A-23127195"", ""price"": 10000, ""description"": ""a"", ""imageUrl"": """", ""category_id"": 1}, {""name"": ""IMP-MULTI-B-23127195"", ""price"": 20000, ""description"": ""b"", ""imageUrl"": """", ""category_id"": 2}, {""name"": ""IMP-MULTI-C-23127195"", ""price"": 30000, ""description"": ""c"", ""image...","200 OK, inserted = 3, CSDL tang dung 3.",AI,VALID,"Kiem chung import hang loat, khong chi 1 dong.",5 assertion deu dat,PASS,
TC-A3-008,API-3,FR-16,01 - Domain Partition: cau truc mang products,Mang chua phan tu null -> bao loi va khong ghi gi,domain-partition,products[i],Phan tu null trong mang,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-NULLROW-23127195"", ""price"": 10000, ""category_id"": 1}, null]}",400 hoac 200 kem errors; CSDL khong duoc tang.,AI,VALID,Dong rong trong file CSV la tinh huong rat pho bien khi nguoi dung xuat tu Excel.,"expected '<!DOCTYPE html>\n<html lang=""en"">\n<h…' not to match /at Object\.|node_modules|ECONNREFUSED|\\Users\\/ | expected 500 to be below 500 | da ghi du lieu du co dong loi: expected 10 to deeply equal 9",FAIL,BUG-A3-09
TC-A3-009,API-3,FR-16,01 - Domain Partition: cau truc mang products,"Mang 100 dong hop le -> khong timeout, inserted = 100",domain-partition,products,Vuot bien tren so luong dong,,POST,/api/admin/import-products,"{""products"": {{bulkRows}}}","200 OK, inserted = 100, CSDL tang dung 100, khong timeout.",HUMAN,VALID,"Case do SV tu them. AI chi sinh mang 1-3 phan tu. Nhung import CSV la tinh nang duoc dung voi hang tram dong that; cai dat dung stmt.finalize() voi callback bat dong bo co the tra ve response TRUOC khi ghi xong, va loi do chi lo ra khi so dong du lon. Dung pre-request script de sinh 100 dong thay vi viet tay.",6 assertion deu dat,PASS,
TC-A3-010,API-3,FR-16,02 - Domain Partition: name,"name rong """" -> bao loi, khong ghi",domain-partition,name,Chuoi rong,,POST,/api/admin/import-products,"{""products"": [{""name"": """", ""price"": 10000, ""category_id"": 1}]}",Bao loi cho dong do; khong ghi ban ghi nao.,AI,VALID,FR-16 ghi ro 'name khong duoc rong'.,4 assertion deu dat,PASS,
