Test Case ID,API,FR,Nhom,Tieu de test case,Ky thuat,Tham so,Phan vung / Gia tri bien,SEC lien quan,Method,Endpoint,Du lieu gui len,Ket qua ky vong (theo dac ta),Nguon (AI/HUMAN),Nhan audit,Ly do audit / hieu chinh,Ket qua chay that (Newman),PASS/FAIL,Ma loi
TC-A2-001,API-2,FR-09,01 - Decision Table C1: ma ton tai & dang hoat dong,C1 dung: ma SAVE10 ton tai va is_active=1 -> vuot qua C1,domain-partition,code,C1 = TRUE,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",Khong tra 404; ma duoc tim thay.,AI,VALID,Nhanh TRUE cua dieu kien C1 trong bang quyet dinh FR-09.,3 assertion deu dat,PASS,
TC-A2-002,API-2,FR-09,01 - Decision Table C1: ma ton tai & dang hoat dong,C1 sai: ma khong ton tai -> 404,domain-partition,code,C1 = FALSE (ma khong co trong CSDL),,POST,/api/apply-coupon,"{""code"": ""KHONGTONTAI23127195"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",404 Not Found kem thong bao ma khong ton tai.,AI,VALID,Nhanh FALSE cua C1.,4 assertion deu dat,PASS,
TC-A2-003,API-2,FR-09,01 - Decision Table C1: ma ton tai & dang hoat dong,"code rong """" -> 400",domain-partition,code,Chuoi rong,,POST,/api/apply-coupon,"{""code"": """", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",400 Bad Request.,AI,VALID,Bien duoi mien gia tri chuoi; SUT co kiem tra !code nen day la nhanh da duoc cai dat.,3 assertion deu dat,PASS,
TC-A2-004,API-2,FR-09,01 - Decision Table C1: ma ton tai & dang hoat dong,thieu truong code -> 400,domain-partition,code,Thieu truong bat buoc,,POST,/api/apply-coupon,"{""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",400 Bad Request.,AI,VALID,Phan vung thieu tham so.,3 assertion deu dat,PASS,
TC-A2-005,API-2,FR-09,01 - Decision Table C1: ma ton tai & dang hoat dong,code = null -> 400,domain-partition,code,Gia tri null,,POST,/api/apply-coupon,"{""code"": null, ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",400 Bad Request.,AI,VALID,Phan vung null.,3 assertion deu dat,PASS,
TC-A2-006,API-2,FR-09,01 - Decision Table C1: ma ton tai & dang hoat dong,"code viet thuong ""save10"" -> phai nhan dien la cung mot ma",domain-partition,code,"Hop le, khac hoa/thuong",,POST,/api/apply-coupon,"{""code"": ""save10"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",200 OK - ma giam gia khong phan biet hoa/thuong.,HUMAN,VALID,Case do SV tu them. AI chi sinh 'ma dung' va 'ma sai'. Trong thuc te ma giam gia duoc in tren to roi / doc qua dien thoai nen nguoi dung go thuong xuyen. Neu he thong phan biet hoa thuong thi ty le nhap that bai rat cao ma khong co thong bao huu ich. Day la khiem khuyet trai nghiem co the do luong duoc.,expected response to have status code 200 but got 404,FAIL,BUG-A2-07
TC-A2-007,API-2,FR-09,01 - Decision Table C1: ma ton tai & dang hoat dong,code co khoang trang bao quanh -> trim roi nhan dien,domain-partition,code,Hop le nhung co khoang trang,,POST,/api/apply-coupon,"{""code"": ""  SAVE10  "", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",Khong 5xx. Ly tuong: 200 sau khi trim.,AI,INCOMPLETE,"AI ky vong 200 ma khong neu ly do. SV bo sung ly do: copy-paste ma tu email hay keo theo khoang trang, trim la hanh vi toi thieu can co; nhung vi SRS khong quy dinh nen nguong bat buoc chi la 'khong 5xx'.",4 assertion deu dat,PASS,
TC-A2-008,API-2,FR-09,01 - Decision Table C1: ma ton tai & dang hoat dong,"code sai kieu (number) -> 400/404, khong 5xx",domain-partition,code,Sai kieu: number,,POST,/api/apply-coupon,"{""code"": 202510, ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",400 hoac 404; khong 5xx.,AI,VALID,Phan vung sai kieu du lieu.,3 assertion deu dat,PASS,
TC-A2-009,API-2,FR-09,02 - Decision Table C2: con han su dung,"C2 sai: ma EXPIRED (het han 2020-01-01), don du nguong -> 400 het han",domain-partition,code,C2 = FALSE (da het han),,POST,/api/apply-coupon,"{""code"": ""EXPIRED"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",400 Bad Request voi thong bao ma da het han.,AI,VALID,Nhanh FALSE cua C2. Don 500000 > min 100000 nen chac chan di vao nhanh kiem tra han dung.,4 assertion deu dat,PASS,
TC-A2-010,API-2,FR-09,02 - Decision Table C2: con han su dung,C2 sai + C3 sai cung luc: ma het han VA don duoi nguong -> khong duoc thanh cong,domain-partition,code + total_amount,C2 = FALSE va C3 = FALSE,,POST,/api/apply-coupon,"{""code"": ""EXPIRED"", ""total_amount"": 50000, ""user_id"": ""{{formulaUserId}}""}",400 Bad Request. Thong bao nen uu tien noi ma da het han vi do la ly do khong the khac phuc duoc.,HUMAN,VALID,"Case do SV tu them. AI sinh bang quyet dinh theo kieu 'moi lan sai mot dieu kien', khong sinh to hop nhieu dieu kien cung sai. To hop nay quan trong vi no bay ra THU TU KIEM TRA cua cai dat: neu kiem tra nguong truoc han dung thi thong bao tra ve se gay hieu nham (bao 'chua du nguong' cho mot ma von da chet han).","expected '{""error"":""Đơn hàng chưa đủ giá trị tố…' to match /h.t h.n|expired/i",FAIL,BUG-A2-06
