TC_ID,API,FR,Category,Technique,Title,Method,Endpoint,Preconditions,Request_Headers,Request_Body,Expected_Status,Expected_Assertions,Oracle,SEC_Ref,Priority,Source,Audit_Label,Audit_Note,Tag,Bug_Ref,Why_AI_Missed
TC-B2-DOM-001,API-2,FR-08,DOM,EP,POST /api/checkout | total_amount = 200000 (tổng tiền khớp với giỏ hàng),POST,/api/checkout,"Đã login, có {{token_user}}, giỏ hàng có 1 sản phẩm",Authorization: Bearer {{token_user}},"{""items"":[{""product_id"":1,""quantity"":2}],""total_amount"":200000,""shipping_address"":""123 Nguyen Van Cu, Q5, TP.HCM""}",201,body có orderId; total_amount trong DB = tổng tính từ server,SPEC,-,P0,AI,VALID,"Bước, dữ liệu và kỳ vọng đều đối chiếu được với SRS; assertion đã cụ thể; chạy độc lập được sau khi _setup chạy xong.",@contract,-,
TC-B2-DOM-002,API-2,FR-08,DOM,EP,POST /api/checkout | total_amount = 1 (client gửi tổng tiền 1 đồng - server phải tự tính lại),POST,/api/checkout,"Đã login, có {{token_user}}, giỏ hàng có 1 sản phẩm",Authorization: Bearer {{token_user}},"{""items"":[{""product_id"":1,""quantity"":2}],""total_amount"":1,""shipping_address"":""123 Nguyen Van Cu, Q5, TP.HCM""}",400,đơn hàng KHÔNG được tạo với giá 1; GET /api/orders/:id phải trả đúng giá thật,SPEC,-,P0,AI,VALID,"Bước, dữ liệu và kỳ vọng đều đối chiếu được với SRS; assertion đã cụ thể; chạy độc lập được sau khi _setup chạy xong.",@bug,B-01,
TC-B2-DOM-003,API-2,FR-08,DOM,EP,POST /api/checkout | total_amount = -100000 (tong tien am),POST,/api/checkout,"Đã login, có {{token_user}}, giỏ hàng có 1 sản phẩm",Authorization: Bearer {{token_user}},"{""items"":[{""product_id"":1,""quantity"":2}],""total_amount"":-100000,""shipping_address"":""123 Nguyen Van Cu, Q5, TP.HCM""}",400,body là JSON; có trường error; VÀ đọc lại tài nguyên sau khi gọi để xác nhận dữ liệu KHÔNG bị thay đổi,SPEC,-,P0,AI,INCOMPLETE,R7 - Case từ chối một thao tác GHI nhưng chỉ kiểm 'có trường error'. Thiếu phần quan trọng nhất: chứng minh THAO TÁC ĐÃ KHÔNG XẢY RA. Một API trả 400 rồi vẫn ghi vào CSDL sẽ pass case này. ĐÃ SỬA: bổ sung bước đọc lại tài nguyên sau khi gọi.,@bug,B-01,
TC-B2-DOM-004,API-2,FR-08,DOM,BVA,POST /api/checkout | total_amount = 0 (BVA - tong tien bang 0),POST,/api/checkout,"Đã login, có {{token_user}}, giỏ hàng có 1 sản phẩm",Authorization: Bearer {{token_user}},"{""items"":[{""product_id"":1,""quantity"":2}],""total_amount"":0,""shipping_address"":""123 Nguyen Van Cu, Q5, TP.HCM""}",400,body là JSON; có trường error; VÀ đọc lại tài nguyên sau khi gọi để xác nhận dữ liệu KHÔNG bị thay đổi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case từ chối một thao tác GHI nhưng chỉ kiểm 'có trường error'. Thiếu phần quan trọng nhất: chứng minh THAO TÁC ĐÃ KHÔNG XẢY RA. Một API trả 400 rồi vẫn ghi vào CSDL sẽ pass case này. ĐÃ SỬA: bổ sung bước đọc lại tài nguyên sau khi gọi.,@bug,B-01,
TC-B2-DOM-005,API-2,FR-08,DOM,EP,POST /api/checkout | total_amount = 200000 (tổng tiền sai kiểu (string)),POST,/api/checkout,"Đã login, có {{token_user}}, giỏ hàng có 1 sản phẩm",Authorization: Bearer {{token_user}},"{""items"":[{""product_id"":1,""quantity"":2}],""total_amount"":""200000"",""shipping_address"":""123 Nguyen Van Cu, Q5, TP.HCM""}",400,body là JSON; có trường error; VÀ đọc lại tài nguyên sau khi gọi để xác nhận dữ liệu KHÔNG bị thay đổi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case từ chối một thao tác GHI nhưng chỉ kiểm 'có trường error'. Thiếu phần quan trọng nhất: chứng minh THAO TÁC ĐÃ KHÔNG XẢY RA. Một API trả 400 rồi vẫn ghi vào CSDL sẽ pass case này. ĐÃ SỬA: bổ sung bước đọc lại tài nguyên sau khi gọi.,@contract,-,
TC-B2-DOM-006,API-2,FR-08,DOM,EP,POST /api/checkout | total_amount = <thieu key> (thiếu total_amount),POST,/api/checkout,"Đã login, có {{token_user}}, giỏ hàng có 1 sản phẩm",Authorization: Bearer {{token_user}},"{""items"":[{""product_id"":1,""quantity"":2}],""shipping_address"":""123 Nguyen Van Cu, Q5, TP.HCM""}",400,body là JSON; có trường error; VÀ đọc lại tài nguyên sau khi gọi để xác nhận dữ liệu KHÔNG bị thay đổi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case từ chối một thao tác GHI nhưng chỉ kiểm 'có trường error'. Thiếu phần quan trọng nhất: chứng minh THAO TÁC ĐÃ KHÔNG XẢY RA. Một API trả 400 rồi vẫn ghi vào CSDL sẽ pass case này. ĐÃ SỬA: bổ sung bước đọc lại tài nguyên sau khi gọi.,@contract,-,
TC-B2-DOM-007,API-2,FR-08,DOM,EP,POST /api/checkout | total_amount = - (total_amount null),POST,/api/checkout,"Đã login, có {{token_user}}, giỏ hàng có 1 sản phẩm",Authorization: Bearer {{token_user}},"{""items"":[{""product_id"":1,""quantity"":2}],""total_amount"":null,""shipping_address"":""123 Nguyen Van Cu, Q5, TP.HCM""}",400,body là JSON; có trường error; VÀ đọc lại tài nguyên sau khi gọi để xác nhận dữ liệu KHÔNG bị thay đổi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case từ chối một thao tác GHI nhưng chỉ kiểm 'có trường error'. Thiếu phần quan trọng nhất: chứng minh THAO TÁC ĐÃ KHÔNG XẢY RA. Một API trả 400 rồi vẫn ghi vào CSDL sẽ pass case này. ĐÃ SỬA: bổ sung bước đọc lại tài nguyên sau khi gọi.,@contract,-,
TC-B2-DOM-008,API-2,FR-08,DOM,BVA,POST /api/checkout | total_amount = 999999999999999 (BVA - tong tien vuot gioi han),POST,/api/checkout,"Đã login, có {{token_user}}, giỏ hàng có 1 sản phẩm",Authorization: Bearer {{token_user}},"{""items"":[{""product_id"":1,""quantity"":2}],""total_amount"":999999999999999,""shipping_address"":""123 Nguyen Van Cu, Q5, TP.HCM""}",400,body là JSON; có trường error; VÀ đọc lại tài nguyên sau khi gọi để xác nhận dữ liệu KHÔNG bị thay đổi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case từ chối một thao tác GHI nhưng chỉ kiểm 'có trường error'. Thiếu phần quan trọng nhất: chứng minh THAO TÁC ĐÃ KHÔNG XẢY RA. Một API trả 400 rồi vẫn ghi vào CSDL sẽ pass case này. ĐÃ SỬA: bổ sung bước đọc lại tài nguyên sau khi gọi.,@contract,-,
TC-B2-DOM-009,API-2,FR-08,DOM,EP,POST /api/checkout | total_amount = 200000.999 (tong tien co phan thap phan la),POST,/api/checkout,"Đã login, có {{token_user}}, giỏ hàng có 1 sản phẩm",Authorization: Bearer {{token_user}},"{""items"":[{""product_id"":1,""quantity"":2}],""total_amount"":200000.999,""shipping_address"":""123 Nguyen Van Cu, Q5, TP.HCM""}",400,body là JSON; có trường error; VÀ đọc lại tài nguyên sau khi gọi để xác nhận dữ liệu KHÔNG bị thay đổi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case từ chối một thao tác GHI nhưng chỉ kiểm 'có trường error'. Thiếu phần quan trọng nhất: chứng minh THAO TÁC ĐÃ KHÔNG XẢY RA. Một API trả 400 rồi vẫn ghi vào CSDL sẽ pass case này. ĐÃ SỬA: bổ sung bước đọc lại tài nguyên sau khi gọi.,@contract,-,
TC-B2-DOM-010,API-2,FR-08,DOM,EP,POST /api/checkout | items = [] (giỏ hàng rỗng),POST,/api/checkout,"Đã login, có {{token_user}}, giỏ hàng có 1 sản phẩm",Authorization: Bearer {{token_user}},"{""items"":[],""total_amount"":200000,""shipping_address"":""123 Nguyen Van Cu, Q5, TP.HCM""}",400,không được tạo đơn hàng rỗng,SPEC,-,P0,AI,VALID,"Bước, dữ liệu và kỳ vọng đều đối chiếu được với SRS; assertion đã cụ thể; chạy độc lập được sau khi _setup chạy xong.",@bug,B-04,
